time,entry,sl,tp,trailing_sl,risk_pips,spread,exit_price,exit_time,status,exit_rr,exit_type,balance_before,risk_amount,risky_ticks,profit,balance_after,withdrawal,total_withdrawn,investment,total_invested,total_equity,direction,duration,pips
2025-03-27 17:35:00+00:00,5702.5,5698.0,5711.5,,4.5,0.4,5698.0,2025-03-27 17:40:00+00:00,loss,-1.0,SL,"$9,497.73",$474.89,4.5,$-474.89,"$9,022.84",$0.00,"$64,650.00",$0.00,"$10,000.00","$73,672.84",bullish,0 days 00:05:00,-4.5
2025-03-27 17:50:00+00:00,5705.7,5697.5,5722.099999999999,,8.2,0.4,5697.5,2025-03-27 17:55:00+00:00,loss,-1.0,SL,"$9,022.84",$451.14,8.199999999999818,$-451.14,"$8,571.70",$0.00,"$64,650.00",$0.00,"$10,000.00","$73,221.70",bullish,0 days 00:05:00,-8.199999999999818
2025-03-27 20:00:00+00:00,5701.2,5697.9,5707.8,5700.25,3.3,0.4,5700.25,2025-03-27 22:00:00+00:00,loss,-0.2878787878787169,TSL,"$8,571.70",$428.59,3.300000000000182,$-123.38,"$8,448.32",$0.00,"$64,650.00",$0.00,"$10,000.00","$73,098.32",bullish,0 days 02:00:00,-0.9499999999998181
2025-03-27 23:00:00+00:00,5700.1,5699.1,5702.1,,1.0,0.5,5699.1,2025-03-27 23:05:00+00:00,loss,-1.0,SL,"$8,448.32",$422.42,1.0,$-422.42,"$8,025.90",$0.00,"$64,650.00",$0.00,"$10,000.00","$72,675.90",bullish,0 days 00:05:00,-1.0
2025-03-27 23:10:00+00:00,5693.8,5692.6,5696.2,5694.0,1.2,0.5,5694.0,2025-03-27 23:30:00+00:00,win,0.16666666666654034,TSL,"$8,025.90",$401.30,1.199999999999818,$66.88,"$8,092.79",$0.00,"$64,650.00",$0.00,"$10,000.00","$72,742.79",bullish,0 days 00:20:00,0.1999999999998181
2025-03-28 00:50:00+00:00,5699.1,5697.6,5702.1,5701.15,1.5,0.5,5701.15,2025-03-28 01:45:00+00:00,win,1.3666666666661815,TSL,"$8,092.79",$404.64,1.5,$553.01,"$8,645.79",$0.00,"$64,650.00",$0.00,"$10,000.00","$73,295.79",bullish,0 days 00:55:00,2.0499999999992724
2025-03-28 01:55:00+00:00,5700.8,5699.6,5703.2,,1.2,0.5,5699.6,2025-03-28 02:00:00+00:00,loss,-1.0,SL,"$8,645.79",$432.29,1.199999999999818,$-432.29,"$8,213.50",$0.00,"$64,650.00",$0.00,"$10,000.00","$72,863.50",bullish,0 days 00:05:00,-1.199999999999818
2025-03-28 02:05:00+00:00,5701.8,5697.8,5709.8,5701.0,4.0,0.5,5701.0,2025-03-28 06:45:00+00:00,loss,-0.20000000000004547,TSL,"$8,213.50",$410.68,4.0,$-82.14,"$8,131.37",$0.00,"$64,650.00",$0.00,"$10,000.00","$72,781.37",bullish,0 days 04:40:00,-0.8000000000001819
2025-03-28 06:55:00+00:00,5694.1,5693.0,5696.300000000001,,1.1,0.5,5693.0,2025-03-28 07:00:00+00:00,loss,-1.0,SL,"$8,131.37",$406.57,1.1000000000003638,$-406.57,"$7,724.80",$0.00,"$64,650.00",$0.00,"$10,000.00","$72,374.80",bullish,0 days 00:05:00,-1.1000000000003638
2025-03-28 08:55:00+00:00,5686.1,5687.4,5683.500000000002,,1.3,0.5,5687.4,2025-03-28 09:00:00+00:00,loss,-1.0,SL,"$7,724.80",$386.24,1.2999999999992724,$-386.24,"$7,338.56",$0.00,"$64,650.00",$0.00,"$10,000.00","$71,988.56",bearish,0 days 00:05:00,-1.2999999999992724
2025-03-28 10:15:00+00:00,5693.3,5695.6,5688.7,,2.3,0.5,5695.6,2025-03-28 10:20:00+00:00,loss,-1.0,SL,"$7,338.56",$366.93,2.300000000000182,$-366.93,"$6,971.63",$0.00,"$64,650.00",$0.00,"$10,000.00","$71,621.63",bearish,0 days 00:05:00,-2.300000000000182
2025-03-28 11:25:00+00:00,5693.6,5695.4,5690.000000000002,5691.699999999999,1.8,0.5,5691.699999999999,2025-03-28 11:45:00+00:00,win,1.0555555555567906,TSL,"$6,971.63",$348.58,1.7999999999992724,$367.95,"$7,339.58",$0.00,"$64,650.00",$0.00,"$10,000.00","$71,989.58",bearish,0 days 00:20:00,1.9000000000014552
2025-03-28 12:05:00+00:00,5692.3,5695.4,5686.100000000001,5693.25,3.1,0.5,5693.25,2025-03-28 12:15:00+00:00,loss,-0.3064516129032211,TSL,"$7,339.58",$366.98,3.0999999999994543,$-112.46,"$7,227.12",$0.00,"$64,650.00",$0.00,"$10,000.00","$71,877.12",bearish,0 days 00:10:00,-0.9499999999998181
2025-03-28 13:20:00+00:00,5691.8,5694.8,5685.8,5683.3,3.0,0.5,5683.3,2025-03-28 13:35:00+00:00,win,2.8333333333333335,TSL,"$7,227.12",$361.36,3.0,"$1,023.84","$8,250.96",$0.00,"$64,650.00",$0.00,"$10,000.00","$72,900.96",bearish,0 days 00:15:00,8.5
2025-03-28 13:55:00+00:00,5671.8,5669.3,5676.8,,2.5,0.4,5669.3,2025-03-28 14:00:00+00:00,loss,-1.0,SL,"$8,250.96",$412.55,2.5,$-412.55,"$7,838.41",$0.00,"$64,650.00",$0.00,"$10,000.00","$72,488.41",bullish,0 days 00:05:00,-2.5
2025-03-28 17:20:00+00:00,5589.9,5594.9,5579.9,5590.1,5.0,0.4,5590.1,2025-03-28 17:45:00+00:00,loss,-0.040000000000145516,TSL,"$7,838.41",$391.92,5.0,$-15.68,"$7,822.74",$0.00,"$64,650.00",$0.00,"$10,000.00","$72,472.74",bearish,0 days 00:25:00,-0.2000000000007276
2025-03-28 18:05:00+00:00,5590.7,5595.9,5580.3,,5.2,0.4,5595.9,2025-03-28 18:10:00+00:00,loss,-1.0,SL,"$7,822.74",$391.14,5.199999999999818,$-391.14,"$7,431.60",$0.00,"$64,650.00",$0.00,"$10,000.00","$72,081.60",bearish,0 days 00:05:00,-5.199999999999818
2025-03-28 19:10:00+00:00,5593.7,5595.9,5589.3,5583.4,2.2,0.4,5583.4,2025-03-28 19:35:00+00:00,win,4.6818181818186515,TSL,"$7,431.60",$371.58,2.199999999999818,"$1,739.67","$9,171.27",$0.00,"$64,650.00",$0.00,"$10,000.00","$73,821.27",bearish,0 days 00:25:00,10.300000000000182
